Song,Hot100 Rank,Hot100 Ranking Year
Rebel Rouser,46,1965
Hooked on a Feeling - Rerecorded,99,2009
You Keep Me Hangin' On,77,2014
Islands in the Stream,56,2009
Come & Go (with Marshmello),54,2020
Walk This Way (feat. Aerosmith),89,1986
Mentirosa,99,1990
You Don't Know How It Feels,61,1995
Work It,54,2002
True Colors,41,1986
Don't Throw Your Love Away (Karaoke in the style of The Searchers),87,2009
Heartache Tonight - 2013 Remaster,47,1980
I Just Can't Help Believing,75,1970
Short People,41,1978
Good Feeling,16,2012
Photograph,38,2006
"Can't Fight This Feeling - Live at Kemper Arena, Kansas City, MO - January 1985",13,1991
Nothin' My Love Can't Fix,92,1993
Ex's & Oh's,73,2015
Lucid Dreams,48,2019
Where Were You (When the World Stopped Turning),98,2023
Put On,68,2008
La-La Means I Love You,23,1968
Layla,60,1972
Oh Girl,13,2001
Forever in Love,73,1993
Say It Loud - I'm Black And I'm Proud - Pt. 1,90,2003
Boogie Woogie Bugle Boy,30,1984
Tequila,8,1994
Keep It Comin' Love,75,2004
The King of Wishful Thinking,70,1992
Fortress Around Your Heart,95,1985
To Sir with Love,1,1967
goosebumps,68,2017
lately - Demo,61,2022
Foolish Beat,32,1988
Dynomite,52,2001
On The Radio,52,1980
Said I Loved You...But I Lied,32,1994
All I Want for Christmas Is You,67,2020
"Look What They've Done to My Song, Ma",96,1971
Someday,17,2004
Go Away Little Girl,7,1971
Disco Inferno,11,2005
You're Gonna Miss This,93,2008
Praying for Time - Remastered,51,2017
(You've Got) The Magic Touch,36,2003
I'm Sprung,98,2006
Money In The Grave (Drake ft. Rick Ross),34,2019
Forever and Ever,14,1966
Tubthumping,35,1998
Yes Indeed (Karaoke Version Originally performed by Lil Baby and Drake),25,2018
Already Gone,74,2010
On the Rebound,29,1961
On My Own,4,1986
23,90,2014
I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster,47,1998
On the Hotline - Amended Version,82,2007
You Send Me,20,2022
"Jocelyn, Op. 100: Berceuse (Arr. For vocal, violin and orchestra)",20,2011
Love Me With All Your Heart (Cuando Caliente El Sol),19,1964
Can't Smile Without You (In the Style of Barry Manilow) [Karaoke Version],27,2014
Sultans of Swing,61,1979
How Deep Is Your Love,6,2020
"Boys 'Round Here (feat. Jason Aldean, Luke Bryan, Ronnie Dunn, Miranda Lambert, Brad Paisley, Reba, Josh Turner, Keith Urban & Hank Williams, Jr.) - Celebrity Mix",60,2013
"Peg O' My Heart - Live On The Ed Sullivan Show, February 26, 1950",2,2021
Making Love,46,1982
Just To See Her,87,1987
Here Comes the Rain Again - Remastered Version,38,1984
Point of No Return,80,1987
You Make Me Wanna...,15,1998
"Doctor, Lawyer, Indian Chief",12,1950
I Want Candy,92,1965
Higher Ground,62,1973
A Little More Love,17,1979
Every Little Thing She Does Is Magic,79,1982
Take This Heart,81,1992
Memphis - Live At Whiskey A Go Go / 1964 / Remastered 1995,41,1995
"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",64,1992
Against All Odds (Take a Look at Me Now) - 2016 Remaster,5,2016
Donna the Prima Donna,76,1963
Beat It,5,2008
Oh Sherrie,31,1984
Don't Mean Nothing,54,1987
Differences,68,2002
There's a Moon Out Tonight,50,1961
My Way,16,1998
Pictures of Matchstick Men - Mono Version,55,1968
Kids In America,91,1982
I Swear,2,1994
Easier Said Than Done,31,1963
Rocketeer,58,2011
On Bended Knee,5,1995
What Ifs (feat. Lauren Alaina),72,2017
Till the World Ends,27,2011
Smoky Mountain Rain,88,2019
Give Me Just a Little More Time (Originally Performed by Chairmen of the Board) [Karaoke Version],39,2016
"Lolli Lolli (Pop That Body) (feat. Project Pat, Young D & Superpower) - Explicit Album Version",70,2008
Cotton Fields,36,2007
Bernadette,82,1967
Every Heartbeat,28,1991
Night Changes,98,2015
Dream Baby (How Long Must I Dream),65,2006
Do Wah Diddy Diddy - 2007 Remaster,15,1964
Hate It Or Love It,24,2005
Strong Enough,30,1995
Lola - 2020 Stereo Remaster,52,1970
The Bells,82,1992
Everything You Want,5,2000
Fresh,89,1985
Dirty Little Secret,48,2006
Dedicated To The One I Love,62,1967
Ayo Technology,87,2007
I Didn't Mean To Turn You On,46,1986
Right Round,6,2009
Sharkbait,100,2020
Manic Monday,48,1986
Only Girl (In The World),47,2010
Where The Boys Are,18,2005
Into the Night (feat. Chad Kroeger),98,2008
Here I Go Again - 2018 Remaster,7,1987
Make You Sweat,89,1990
It's a Heartache,24,1978
On a Carousel,42,1973
Mine,21,2018
Over,60,2010
Beauty,56,1998
Back To Sleep,89,2016
I Want To Hold Your Hand - Remastered 2015,1,2000
Good Life,79,2008
For Free (feat. Drake),59,2016
Daylight,35,2013
Tonight (I'm Fuckin' You),16,2011
Tootsee Roll (Dance Version),65,1994
Look Away - 2009 Remaster,1,1989
It's so Easy,90,1978
Thinkin' Back,89,1992
You Can't Hurry Love,13,1966
Give It 2 You,97,2000
Easy To Be Hard - Single Version,33,1969
How To Love,23,2011
Nice to Be with You,14,1972
Come A Little Bit Closer,29,1964
That Lucky Old Sun,2,1958
98.6,79,1967
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),5,2007
The One I Gave My Heart To,86,1998
Hey Paula,6,1963
Abracadabra,9,1982
Price Tag,93,2011
Been Around the World (feat. The Notorious B.I.G. & Mase),19,1998
Trampoline,70,2019
Leave The Night On,76,2014
"Living in America - From ""Rocky IV"" Soundtrack",65,1986
Born A Woman,23,2005
Uhh Ahh,84,2009
I Don’t Care,92,2023
"Flava in Ya Ear Remix (feat. Notorious B.I.G., L.L. Cool J, Busta Rhymes, Rampage)",81,1994
Blurred Lines,2,2013
19th Nervous Breakdown - Mono Version,54,1971
Angel in Your Arms,5,1988
Who's Crying Now,56,1981
C'est Si Bon (In the Style of Eartha Kitt) [Karaoke Version],29,2013
Breathe,1,2000
A Summer Song,50,1965
Hooray For Hazel,44,2001
Glad All Over - 2019 - Remaster,23,1964
Set Adrift on Memory Bliss (Re-Recorded),44,2014
In The Navy,48,1994
How Do I Live,9,2003
I Love You More And More Every Day - Remastered,73,1992
Mr. Brightside,16,2005
You Belong To Me,5,2002
Navy Blue,58,2009
Release Me,31,1967
Come And Get These Memories,83,1963
"Knowing Me, Knowing You",97,1977
I Gotta Feeling,4,2023
Feelin' Stronger Every Day - 2002 Remaster,54,1973
Stand Up,51,2003
I Fought the Law - Single Version,89,1998
Night,34,2002
Tipsy - Club Mix,11,2004
Stay Awhile - Remastered,57,2003
People Got to Be Free,5,1969
Cooler Than Me - Single Mix,19,2010
Love Me Tonight,94,1997
No Time,70,1970
What I Am,84,1989
Cold as Ice,68,1977
Sweet Love,27,1976
Knife Talk (with 21 Savage ft. Project Pat),60,2022
Who's Zoomin' Who?,94,1985
"Burning Heart - From ""Rocky IV"" Soundtrack",8,1993
Come On Down To My Boat,22,2006
That's Why (I Love You So),90,1959
You Made Me Believe In Magic,76,1977
"634-5789 (Soulsville, U.S.A.) - 2007 Remaster [2007 Remastered Version]",95,2017
I Like It,12,2010
Pumped Up Kicks,13,2011
The Streak - 1974 #1Pop; #3Country Billboard Chart Hit,8,1974
All Out of Love,55,1980
Tell Me a Story - Single Version,23,2014
Mule Skinner Blues,44,1960
Boulevard of Broken Dreams,7,2017
Magic - 2017 Remaster,97,1984
When It's Love,82,1988
Wake Me Up,22,2014
"No, No, No Pt. 2 (feat. Wyclef Jean)",12,1998
Gangsta Lean,39,1994
"break up with your girlfriend, i'm bored",36,2019
Hang On In There Baby,61,1974
Girls Say,72,2005
Sunflower - Spider-Man: Into the Spider-Verse,2,2019
Angie Baby,28,1975
They Say It's Wonderful - Remastered,25,1993
Never Gonna Give You Up,55,1995
"Whoot, There It Is (Ultimix)",44,1996
Dangerous Woman,36,2016
When I Think Of You,32,1986
Live and Learn,30,1992
Let's Fall in Love,3,1956
Behind These Hazel Eyes,10,2005
Kings & Queens,73,2021
Kryptonite,15,2000
To Each His Own,14,1946
Suit & Tie (feat. JAY Z) (feat. Jay-Z) - [Radio Edit],20,2013
Party Continues,92,2022
Wedding Bell Blues - Laura Nyro Cover,40,1969
The Rubberband Man,81,1977
I Wish,64,2000
Cum on Feel the Noize,68,1984
"Baby, I Love Your Way",21,1994
You're My World,56,2023
Band of Gold (with Ray Conniff & His Orchestra & Chorus),38,1999
You Don't Know My Name,29,2004
The Way,31,2013
Our Winter Love - Single Version,54,1963
ROCKSTAR (feat. Roddy Ricch),5,2020
Hard Knock Life (Ghetto Anthem),89,1999
Bad Time - Remastered 2002,62,1975
Another Day in Paradise - 2016 Remaster,7,1990
Crank That (Soulja Boy),54,2008
Ex's & Oh's,63,2016
Somebody That I Used To Know,1,2012
"I'll Be Your Everything (In the Style of Tommy Page, New Kids on the Block) - Karaoke Version",39,2022
Don't You Know,43,1961
"Touch Me (All Night Long) - 7"" Mix",30,1991
Promise,48,2001
Nowhere Man - Remastered 2009,84,1966
Soon as I Get Home,97,1996
"Mrs. Robinson - From ""The Graduate"" Soundtrack",9,1968
Underneath Your Clothes,66,2002
Now And Forever,25,1994
Together Again,6,1998
Brandy (You're a Fine Girl),12,1972
It Might Be You,95,2022
Summertime Blues,56,1968
Hold It Against Me,60,2011
my ex's best friend (with blackbear),23,2021
Masterpiece,27,2015
The More I See You,88,1966
Follow Me,19,2001
Superstar,27,2012
Just One Look,70,1963
"Baby, I'm Back",62,2005
Mood (feat. iann dior),4,2021
Something Bad (A Tribute to Miranda Lambert and Carrie Underwood),99,2014
Bounce Back,35,2017
A White Sport Coat (And a Pink Carnation) (with Ray Conniff),17,1996
The Lord's Prayer 1983,86,2002
Be Alright,54,2019
Money,92,1973
Mona Lisa,2,1954
That's The Way Love Goes,4,1993
You're the Reason I'm Living (Originally Performed by Bobby Darin) [Karaoke Version],17,2016
Hot Diggity (Dog Ziggity Boom),16,1975
Please Remember Me,56,1999
Before I Let You Go,46,1995
Those Oldies but Goodies (Remind Me of You) - 1963,69,2019
Lawyers in Love,87,1983
5 Foot 9,67,2022
Hey Mickey,36,2020
Unchained Melody,5,1960
Big Pimpin',60,2000
Stairway to Heaven,76,1960
Come and Get Your Love - Single Version,4,1974
Everybody Everybody,81,1990
Here,30,2001
I Wish,51,1977
A Thousand Miles,6,2002
Float On - Single Version,72,1996
I Adore Mi Amor,18,1991
Finally,20,1992
Give Me Love (Give Me Peace on Earth),42,1973
The Man,48,2014
I Don't Wanna Go On With You Like That,43,1988
Spanish Harlem,64,1961
Ready Or Not,54,1990
Sunshine (feat. Lea),20,2004
Sweet Talkin' Guy,81,2004
Ms. New Booty,36,2006
0 To 100 / The Catch Up,97,2014
Do Me!,11,1990
"You're The First, The Last, My Everything - Single Version",49,2023
Candy Rain,25,1995
"Can't Stop, Won't Stop",85,2004
Magic Stick,20,2003
Lipstick On Your Collar,28,1959
One Last Time,67,2015
Gone,23,2011
Collide,45,2005
Better Days,73,2022
Running Up That Hill (A Deal With God),23,2022
Swimming Pools (Drank),79,2013
(It's No) Sin,21,1993
Wear My Ring Around Your Neck,22,2020
For Once In My Life,69,1974
Love Is In The Air,46,2009
I'm Walking Behind You - 2001 Remastered,4,2001
Cashing Out,92,2022
Silhouettes,22,1966
A Holly Jolly Christmas,89,2022
Amos Moses,28,1971
I’m Gonna Be (500 Miles),27,2023
Portrait of My Love,30,1965
Peter Gunn Theme,66,1959
Take Time to Know Her,54,1968
Who'd She Coo?,86,2013
"Head Over Heels - Dave Bascombe 7"" N.Mix",60,1985
Clout (feat. Cardi B),87,2019
Diamond Girl,40,1973
Finger Poppin' Time,49,2010
"Dance With Me, Henry (Wallflower) - Live On The Ed Sullivan Show, May 1, 1955",10,2023
Eastside (with Halsey & Khalid),77,2018
Rainbow,41,1957
Just A Lil Bit,17,2005
Beg Your Pardon (feat. Maxo Kream),18,2019
Love Is A Battlefield,57,2001
"The Earth, the Sun, the Rain",54,1996
You Got The Love,84,1975
Signs,24,2009
Manana (Is Soon Enough For Me),2,1998
Convoy,57,1990
Do What You Do,90,2010
Over And Over,48,2005
My Maria,64,1973
Cry For You,60,1994
For Your Eyes Only,64,1982
To Each His Own,2,1996
I Finally Found Someone (As Made Famous by Bryan Adams and Barbra Streisand),53,2011
More (Theme From Mondo Cane),50,1963
Just Give Me a Reason (feat. Nate Ruess),7,2013
Boy from New York City (In the Style of Manhattan Transfer) [Karaoke Version],36,2013
I'm Sorry (Karaoke in the style of Brenda Lee),6,2009
Beautiful Soul,75,2005
Rock the Casbah - Remastered,52,1983
Shame,64,1993
Your Good Thing (Is About To End),91,1992
More - RedOne Jimmy Joker Remix,61,2011
You're Just In Love (I Wonder Why),27,2001
You Can Depend On Me,93,1962
Waiting for a Star to Fall,12,1989
Viva La Vida,13,2008
Rock And Roll Heaven,58,2006
oui,55,2016
"Oh, What A Night",82,1998
Harbor Lights,9,2020
Ride Wit Me,18,2001
Lay Your Hands On Me,82,2010
I Don’t Care,52,2023
Envy Me,59,2019
(You're) Having My Baby,28,2023
(Terry's Theme From) 'Limelight',27,2017
Addams Groove,76,1996
Ask of You (Originally Performed by Raphael Saadiq) [Karaoke Version],83,2016
Love Story (Taylor’s Version),5,2021
Save The Best For Last,4,1992
Young Love,8,1959
Bongo Rock,98,1960
You Should Probably Leave,79,2022
Beautiful Mistakes (feat. Megan Thee Stallion),34,2021
Boyfriend (Duet Version) (Vocal Guide Version Originally Performed by Ariana Grande and Social House),98,2019
(Now and Then There's) A Fool Such as I,34,2022
Watching Scotty Grow,78,2007
Day by Day,90,2011
Rebirth Of Slick (Cool Like Dat),81,1993
Sign O' The Times - 2020 Remaster,60,1987
This Masquerade - 2000 Remaster,69,1976
Conga!,40,1986
Tallahassee Lassie,40,2008
China Girl - 2018 Remaster,62,1983
Do For Love,89,1998
Lately,15,1993
Pony Time,7,1962
Shallow,19,2019
Looking Through Your Eyes - from the motion picture Quest For Camelot,60,1998
Come Back To Me,49,1990
(Just Like) Romeo & Juliet,65,1964
Teen Angel,5,1960
Lavender Blue,33,2005
"Meet Me Half Way - From ""Over The Top"" Soundtrack",96,1988
Forever,92,1990
Eenie Meenie - Sean Kingston & Justin Bieber,89,2010
Spirit In The Sky,22,1970
The Power,26,1990
Freestyle,84,2019
Long Cool Woman (In a Black Dress) - 1999 Remaster,24,1972
Johnny Angel - Single Version,6,1962
The Loco-Motion - Single Version,7,1963
Un-thinkable (I'm Ready),78,2010
A Cowboy's Work Is Never Done,70,1998
Yes We Can Can,95,1997
Walk of Life,49,1986
Opposites Attract,14,1990
Memphis,48,2005
More And More - Single Version,79,1993
Soldier (feat. T.I. & Lil' Wayne),26,2005
Psycho (feat. Ty Dolla $ign),6,2018
I'll Stand by You,95,1995
Whoomp! There It Is - Radio Edit,42,1994
Blank Space,7,2015
Someone to Love (feat. Babyface),32,1995
"Hello, Dolly!",3,1964
Crank That (Soulja Boy),20,2007
One Good Woman,69,1988
Lil Bit - FGL Remix,70,2021
O.P.P,94,1991
She Ain't You,89,2011
Crazy for You - Edit,9,1990
Be Near Me,71,1985
Dude,85,2004
Alive And Kicking,17,1986
Sweet Dreams,66,2009
The Birds and the Bees,13,1990
She Looks So Perfect,93,2014
Personally,60,1982
Surfin' U.S.A. - Remastered 2001,1,1963
Super Gremlin,9,2022
I'm A Flirt,49,2007
There Goes My Baby,29,1988
Loyalty Before Royalty,66,2018
"Lights, Camera, Action!",49,2002
I Thank You - LP / Single Version,68,1968
Secret Rendezvous,69,1989
If Wishes Came True,25,1990
Where I Wanna Be,81,2000
Knock On Wood,22,2012
Karma Chameleon - Remastered 2002,10,1984
Wild Night,15,1994
Money,38,2019
Pipeline,21,1963
To Each His Own,25,1996
Stumblin' In (In the Style of Chris Norman & Suzi Quatro) [Karaoke Version],23,2015
Love Will Find A Way,44,1978
My Band,59,2004
Pretty Little Angel Eyes,77,1961
Sadeness - Pt. 1 / Radio Edit,63,1991
One Last Breath,27,2002
Three Coins In The Fountain,8,1993
Tossin' And Turnin',1,2005
Hurricane,76,2017
Ariel,69,1977
Turnin Me On - Original Clean,49,2009
Treasure,30,2013
The Gypsy,21,2000
While You See A Chance,68,1981
Surfin' Safari - Mono/Remastered 2001,100,1962
Ruby Baby,32,1963
Do You Want To Know A Secret - Remastered 2009,55,1964
Burnin' Up,73,2008
You Baby (Mono),80,1966
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,95,1999
The Fox (What Does the Fox Say?),73,2013
Little Things Mean a Lot,1,1963
I Go Back,100,2004
Wild Thing,99,1974
Barefootin',60,1966
How Much Love - Remastered,98,1977
Manhattan Spiritual,86,2012
Jumpin' Jack Flash,50,2021
A Whole New World (Aladdin's Theme),18,1993
"1, 2 Step (feat. Missy Elliott) - Don Candiani Reggaeton Mix",5,2005
Love Makes the World Go Round,62,1966
Independent Women Part 1 (As Made Famous By Destiny's Child),97,2011
Bust A Move,42,1989
You Can't Change That,30,1979
Suspicion,22,1994
One More Day,86,2001
You,59,1999
I'm Sprung,95,2005
That's My Kind Of Night,78,2013
Tubular Bells - Pt. I,79,1974
Clarity,24,2013
How Deep Is Your Love,5,2020
Die Young,57,2013
Papa Was A Rollin' Stone - Single Version,100,2000
"Answer Me, My Love",18,1991
Can I Change My Mind,62,1969
Sundown,27,1974
Cathy's Clown - 2007 Remaster,3,1960
I Just Can't Stop Loving You (feat. Siedah Garrett),45,2008
If I Can't Have You,19,1997
I Can Help,44,1975
Whatta Man,14,1994
Burn,39,2014
Play That Funky Music,57,1991
If You Don't Know Me by Now - 2008 Remaster,24,1989
Woman in Love,35,1981
The Hardest Thing,37,1999
Cater 2 U,66,2005
When We Were Young,83,2016
No Limit (feat. Young Thug),90,2016
Bobby Sox to Stockings,70,2018
Complicated,11,2002
Get Off - Remastered,85,2011
Iesha,54,1991
Foolish Games,2,1997
Today Was A Fairytale (Taylor’s Version),84,2021
My Sweet Lord - 2014 Remaster,31,1971
Babe,20,1980
INDUSTRY BABY (feat. Jack Harlow),16,2022
Do You Know What I Mean,19,1971
The Way We Were / Try to Remember,54,1975
The Sweetest Taboo,55,1986
"Main Title - From ""Star Wars""",99,2018
In My Bed,27,1997
A Well Respected Man,100,1966
Come Over,76,2012
Girl Crush,63,2015
Another Sad Love Song,46,1993
SOS,19,2006
Ain't No Mountain High Enough - Short Promo Version,6,2008
The Hills,10,2015
I'm Sorry,77,1975
I Go Crazy,12,1978
The Crazy Otto Medley,11,2001
Sweet but Psycho,23,2020
Miami Vice Theme,27,1987
You Belong With Me (Taylor’s Version),11,2021
Walk Em Down (feat. Roddy Ricch),100,2020
Gin and Juice,52,1994
Soldier Boy,10,2005
Sunglasses At Night,36,1984
I've Found Someone of My Own,26,1971
Got My Mind Set On You,3,1988
(A Hubba-Hubba-Hubba) Dig You Later,31,2000
Spend My Life With You,65,1999
Walk Right In,28,2007
Ooh Child,88,1993
I Wanna Be Down,49,1995
Fly Me To The Moon (Bart Howard),89,2010
Twenty Miles,98,1963
Arcade,82,2021
Simon Says,33,1968
The Chokin' Kind,75,1969
Dear Mama,51,1995
She Got It,100,2008
Un-Break My Heart,81,1996
Let's Live For Today - Uncensored Version,70,1967
GUMMO,56,2018
Look Back at It,41,2019
She Loves You - Mono / Remastered,2,2000
Ships,98,1980
Fuck It (I Don't Want You Back),63,2004
